Description,Location,Number of Rooms,Price
"2 bedroom property to let in Kilburn Park Road, NW6 £595 pw","                        London, Greater London                    ",2,2578.0
"1 bedroom property to let in Lavender Gardens, SW11 £415 pw","                        London, Greater London                    ",1,1798.0
"High Street London E15, London E15 Flat for rent | JLL Residential","                        London, Greater London                    ",1,1850.0
"apartment at Sandringham Road, E8","                        London, Greater London                    ",1,1400.0
2 Bedroom Apartment in Brondesbury,"                        London, Greater London                    ",1,2120.0
Ashenden Road,"                        London, Greater London                    ",1,1050.0
Lochaline Street London,"                        London, Greater London                    ",1,1848.0
"Roosevelt Tower, London E14, London E14 Flat for rent | JLL Residential","                        London, Greater London                    ",1,1896.0
"Hampden Way, Southgate, N14. Homelink Lettings & Estates Estate agents based in Southgate N14, sales and lettings across London","                        London, Greater London                    ",2,1600.0
"Studio flat to rent in Aerodrome Road, Colindale, NW9, London","                        London, Greater London                    ",1,1255.0
"Romford Road, LONDON, E15 | Century 21 UK","                        London, Greater London                    ",1,1400.0
"Michael Road London SW6, London SW6 Apartment for rent | JLL Residential","                        London, Greater London                    ",1,3796.0
studio for rent,"                        London, Greater London                    ",1,1199.0
"Studio flat to rent in Boulevard Drive, Colindale, NW9, London","                        London, Greater London                    ",1,1238.0
"581 North End Road, Wembley, London, HA9","                        London, Greater London                    ",3,2900.0
"Distillery Tower, 1 Mill Lane, Deptford, London, SE8","                        London, Greater London                    ",1,1750.0
"2 Bedroom Apartment to Rent in Weymouth Street, Marylebone, W1G 7BW, London, W1G, 7BW | allAgents. Property id 2846804","                        London, Greater London                    ",2,2687.0
"Ratcliffe Court, Great Dover Street, London, SE1","                        London, Greater London                    ",1,2000.0
"2 Bedroom Flat to Rent in New Cavendish Street, Fitzrovia, W1W 6YD, Westminster, London, W1W, 6YD | allAgents. Property id 2846791","                        London, Greater London                    ",2,3250.0
"Broomhouse Lane, Fulham SW6, London SW6 Detached for rent | JLL Residential","                        London, Greater London                    ",1,29996.0
"Property To Rent High Road, Willesden, NW10 | 2 Bedroom Flat through Abacus Estates","                        London, Greater London                    ",2,1903.0
Apartment for rent in London,"                        London, Greater London                    ",2,2350.0
"Property To Rent Fortune Green Road, West Hampstead, NW6 | 2 Bedroom Apartment through Abacus Estates","                        London, Greater London                    ",2,1716.0
"Property To Rent Finchley Road, Childs Hill, NW11 | 2 Bedroom Flat through Abacus Estates","                        London, Greater London                    ",2,1499.0
